experiment,classifier,training_shape,sample_length,coverage,k,score,score_type
5.01,Naive Bayes,"(314, 400)",100,1,1,0.3032258064516129,species_recall
5.01,Naive Bayes,"(314, 800)",100,1,2,0.25161290322580643,species_recall
5.01,Naive Bayes,"(314, 4926)",100,1,4,0.3096774193548387,species_recall
5.01,Naive Bayes,"(314, 6701)",100,1,6,0.18064516129032257,species_recall
5.01,Naive Bayes,"(314, 5535)",100,1,8,0.2967741935483871,species_recall
5.01,Naive Bayes,"(314, 4656)",100,1,10,0.2645161290322581,species_recall
5.01,Naive Bayes,"(314, 3728)",100,1,12,0.25161290322580643,species_recall
5.01,Naive Bayes,"(3073, 400)",100,10,1,0.25214521452145217,species_recall
5.01,Naive Bayes,"(3073, 800)",100,10,2,0.27524752475247527,species_recall
5.01,Naive Bayes,"(3073, 6400)",100,10,4,0.29042904290429045,species_recall
5.01,Naive Bayes,"(3073, 37097)",100,10,6,0.3735973597359736,species_recall
5.01,Naive Bayes,"(3073, 48134)",100,10,8,0.300990099009901,species_recall
5.01,Naive Bayes,"(3073, 42967)",100,10,10,0.3227722772277228,species_recall
5.01,Naive Bayes,"(3073, 34588)",100,10,12,0.31287128712871287,species_recall
5.01,Naive Bayes,"(30676, 400)",100,100,1,0.2644606221045665,species_recall
5.01,Naive Bayes,"(30676, 800)",100,100,2,0.26029119788219723,species_recall
5.01,Naive Bayes,"(30676, 6400)",100,100,4,0.27200529450694905,species_recall
5.01,Naive Bayes,"(30676, 63295)",100,100,6,0.4612177365982793,species_recall
5.01,Naive Bayes,"(30676, 225317)",100,100,8,0.6515552614162806,species_recall
5.01,Naive Bayes,"(30676, 256543)",100,100,10,0.6495698213103904,species_recall
5.01,Naive Bayes,"(30676, 213364)",100,100,12,0.6583057577763071,species_recall
5.01,Naive Bayes,"(61353, 400)",100,200,1,0.264601740626758,species_recall
5.01,Naive Bayes,"(61353, 800)",100,200,2,0.2606638207750091,species_recall
5.01,Naive Bayes,"(61353, 6400)",100,200,4,0.28396042225090173,species_recall
5.01,Naive Bayes,"(61353, 64307)",100,200,6,0.4617624673218836,species_recall
5.01,Naive Bayes,"(61353, 273759)",100,200,8,0.77874846950594,species_recall
5.01,Naive Bayes,"(61353, 334161)",100,200,10,0.8117078659121745,species_recall
5.01,Naive Bayes,"(61353, 281099)",100,200,12,0.8160097951619841,species_recall
5.01,Naive Bayes,"(122706, 400)",100,400,1,0.26339389126046525,species_recall
5.01,Naive Bayes,"(122706, 800)",100,400,2,0.2641219100565869,species_recall
5.01,Naive Bayes,"(122706, 6400)",100,400,4,0.2744630861378603,species_recall
5.01,Naive Bayes,"(122706, 64568)",100,400,6,0.47307985042522915,species_recall
5.01,Naive Bayes,"(122706, 293704)",100,400,8,0.8528078361295873,species_recall
5.01,Naive Bayes,"(122706, 369233)",100,400,10,0.9193388265660677,species_recall
5.01,Naive Bayes,"(122706, 312193)",100,400,12,0.9225487276216949,species_recall
5.01,Naive Bayes,"(160, 800)",200,1,1,0.3,species_recall
5.01,Naive Bayes,"(160, 1600)",200,1,2,0.175,species_recall
5.01,Naive Bayes,"(160, 7086)",200,1,4,0.1625,species_recall
5.01,Naive Bayes,"(160, 7549)",200,1,6,0.1625,species_recall
5.01,Naive Bayes,"(160, 5981)",200,1,8,0.25,species_recall
5.01,Naive Bayes,"(160, 4800)",200,1,10,0.2625,species_recall
5.01,Naive Bayes,"(160, 3840)",200,1,12,0.2625,species_recall
5.01,Naive Bayes,"(1541, 800)",200,10,1,0.2490118577075099,species_recall
5.01,Naive Bayes,"(1541, 1600)",200,10,2,0.2595520421607378,species_recall
5.01,Naive Bayes,"(1541, 12739)",200,10,4,0.3096179183135705,species_recall
5.01,Naive Bayes,"(1541, 50321)",200,10,6,0.3214756258234519,species_recall
5.01,Naive Bayes,"(1541, 53618)",200,10,8,0.28063241106719367,species_recall
5.01,Naive Bayes,"(1541, 44525)",200,10,10,0.2845849802371542,species_recall
5.01,Naive Bayes,"(1541, 35743)",200,10,12,0.30303030303030304,species_recall
5.01,Naive Bayes,"(15341, 800)",200,100,1,0.2643906312028583,species_recall
5.01,Naive Bayes,"(15341, 1600)",200,100,2,0.265713907635305,species_recall
5.01,Naive Bayes,"(15341, 12800)",200,100,4,0.2854307264787614,species_recall
5.01,Naive Bayes,"(15341, 123421)",200,100,6,0.4724096863834855,species_recall
5.01,Naive Bayes,"(15341, 329868)",200,100,8,0.5495567023951303,species_recall
5.01,Naive Bayes,"(15341, 328999)",200,100,10,0.523355829032685,species_recall
5.01,Naive Bayes,"(15341, 269973)",200,100,12,0.5279872965462485,species_recall
5.01,Naive Bayes,"(30676, 800)",200,200,1,0.2626075446724024,species_recall
5.01,Naive Bayes,"(30676, 1600)",200,200,2,0.2616810059563203,species_recall
5.01,Naive Bayes,"(30676, 12800)",200,200,4,0.271475843812045,species_recall
5.01,Naive Bayes,"(30676, 130352)",200,200,6,0.47928524156187957,species_recall
5.01,Naive Bayes,"(30676, 461544)",200,200,8,0.6901389808074123,species_recall
5.01,Naive Bayes,"(30676, 501738)",200,200,10,0.6728656518861681,species_recall
5.01,Naive Bayes,"(30676, 416673)",200,200,12,0.6776968894771674,species_recall
5.01,Naive Bayes,"(61353, 800)",200,400,1,0.2594725172904464,species_recall
5.01,Naive Bayes,"(61353, 1600)",200,400,2,0.2653297594228796,species_recall
5.01,Naive Bayes,"(61353, 12800)",200,400,4,0.26374135477679606,species_recall
5.01,Naive Bayes,"(61353, 132452)",200,400,6,0.4835037559151527,species_recall
5.01,Naive Bayes,"(61353, 556883)",200,400,8,0.8222972302193984,species_recall
5.01,Naive Bayes,"(61353, 646745)",200,400,10,0.8236870842847215,species_recall
5.01,Naive Bayes,"(61353, 543001)",200,400,12,0.8352030179688276,species_recall
5.01,Naive Bayes,"(84, 1600)",400,1,1,0.21428571428571427,species_recall
5.01,Naive Bayes,"(84, 3191)",400,1,2,0.2619047619047619,species_recall
5.01,Naive Bayes,"(84, 9291)",400,1,4,0.3333333333333333,species_recall
5.01,Naive Bayes,"(84, 8016)",400,1,6,0.2619047619047619,species_recall
5.01,Naive Bayes,"(84, 6230)",400,1,8,0.2857142857142857,species_recall
5.01,Naive Bayes,"(84, 4998)",400,1,10,0.3333333333333333,species_recall
5.01,Naive Bayes,"(84, 4125)",400,1,12,0.2619047619047619,species_recall
5.01,Naive Bayes,"(773, 1600)",400,10,1,0.25196850393700787,species_recall
5.01,Naive Bayes,"(773, 3200)",400,10,2,0.2440944881889764,species_recall
5.01,Naive Bayes,"(773, 24473)",400,10,4,0.29396325459317585,species_recall
5.01,Naive Bayes,"(773, 60557)",400,10,6,0.3228346456692913,species_recall
5.01,Naive Bayes,"(773, 55560)",400,10,8,0.26246719160104987,species_recall
5.01,Naive Bayes,"(773, 45268)",400,10,10,0.29133858267716534,species_recall
5.01,Naive Bayes,"(773, 37401)",400,10,12,0.3123359580052493,species_recall
5.01,Naive Bayes,"(7675, 1600)",400,100,1,0.2655382174028035,species_recall
5.01,Naive Bayes,"(7675, 3200)",400,100,2,0.26342237503306004,species_recall
5.01,Naive Bayes,"(7675, 25600)",400,100,4,0.26765405977254697,species_recall
5.01,Naive Bayes,"(7675, 215495)",400,100,6,0.4654853213435599,species_recall
5.01,Naive Bayes,"(7675, 411471)",400,100,8,0.47341973023009787,species_recall
5.01,Naive Bayes,"(7675, 377996)",400,100,10,0.44988098386670194,species_recall
5.01,Naive Bayes,"(7675, 316423)",400,100,12,0.4512033853477916,species_recall
5.01,Naive Bayes,"(15341, 1600)",400,200,1,0.2551276961757311,species_recall
5.01,Naive Bayes,"(15341, 3200)",400,200,2,0.2761677914516342,species_recall
5.01,Naive Bayes,"(15341, 25600)",400,200,4,0.271007013365092,species_recall
5.01,Naive Bayes,"(15341, 245136)",400,200,6,0.4827312425565701,species_recall
5.01,Naive Bayes,"(15341, 641996)",400,200,8,0.6010321556173085,species_recall
5.01,Naive Bayes,"(15341, 636760)",400,200,10,0.5623924837898637,species_recall
5.01,Naive Bayes,"(15341, 538335)",400,200,12,0.5821093026333201,species_recall
5.01,Naive Bayes,"(30676, 1600)",400,400,1,0.2610191925876903,species_recall
5.01,Naive Bayes,"(30676, 3200)",400,400,2,0.26452680344142954,species_recall
5.01,Naive Bayes,"(30676, 25600)",400,400,4,0.2598279285241562,species_recall
5.01,Naive Bayes,"(30676, 258645)",400,400,6,0.500132362673726,species_recall
5.01,Naive Bayes,"(30676, 883432)",400,400,8,0.7379880873593646,species_recall
5.01,Naive Bayes,"(30676, 949546)",400,400,10,0.7178689609530112,species_recall
5.01,Naive Bayes,"(30676, 812156)",400,400,12,0.7212442091330244,species_recall
