experiment,category,classifier,training shape,sample_length,coverage,k,penalty,multi_class,class_weight,score,score type
7.02,multiclass,Logistic Regression (sklearn),"(56, 400)",100,1,1,l2,auto,balanced,0.1724137931034483,species_recall
7.02,multiclass,Logistic Regression (sklearn),"(56, 793)",100,1,2,l2,auto,balanced,0.3103448275862069,species_recall
7.02,multiclass,Logistic Regression (sklearn),"(56, 1722)",100,1,4,l2,auto,balanced,0.1724137931034483,species_recall
7.02,multiclass,Logistic Regression (sklearn),"(56, 1338)",100,1,6,l2,auto,balanced,0.20689655172413793,species_recall
7.02,multiclass,Logistic Regression (sklearn),"(56, 1018)",100,1,8,l2,auto,balanced,0.20689655172413793,species_recall
7.02,multiclass,Logistic Regression (sklearn),"(56, 850)",100,1,10,l2,auto,balanced,0.20689655172413793,species_recall
7.02,multiclass,Logistic Regression (sklearn),"(56, 680)",100,1,12,l2,auto,balanced,0.1724137931034483,species_recall
7.02,multiclass,Logistic Regression (sklearn),"(546, 400)",100,10,1,l2,auto,balanced,0.4185185185185185,species_recall
7.02,multiclass,Logistic Regression (sklearn),"(546, 800)",100,10,2,l2,auto,balanced,0.42962962962962964,species_recall
7.02,multiclass,Logistic Regression (sklearn),"(546, 5689)",100,10,4,l2,auto,balanced,0.34074074074074073,species_recall
7.02,multiclass,Logistic Regression (sklearn),"(546, 10714)",100,10,6,l2,auto,balanced,0.2962962962962963,species_recall
7.02,multiclass,Logistic Regression (sklearn),"(546, 9328)",100,10,8,l2,auto,balanced,0.3,species_recall
7.02,multiclass,Logistic Regression (sklearn),"(546, 7885)",100,10,10,l2,auto,balanced,0.2222222222222222,species_recall
7.02,multiclass,Logistic Regression (sklearn),"(546, 6317)",100,10,12,l2,auto,balanced,0.25555555555555554,species_recall
7.02,multiclass,Logistic Regression (sklearn),"(5454, 400)",100,100,1,l2,auto,balanced,0.4897655377744697,species_recall
7.02,multiclass,Logistic Regression (sklearn),"(5454, 800)",100,100,2,l2,auto,balanced,0.6237439523632303,species_recall
7.02,multiclass,Logistic Regression (sklearn),"(5454, 6399)",100,100,4,l2,auto,balanced,0.737625604763677,species_recall
7.02,multiclass,Logistic Regression (sklearn),"(5454, 38665)",100,100,6,l2,auto,balanced,0.698920729438035,species_recall
7.02,multiclass,Logistic Regression (sklearn),"(5454, 53604)",100,100,8,l2,auto,balanced,0.6605880163751395,species_recall
7.02,multiclass,Logistic Regression (sklearn),"(5454, 48759)",100,100,10,l2,auto,balanced,0.6319315221436547,species_recall
7.02,multiclass,Logistic Regression (sklearn),"(5454, 39395)",100,100,12,l2,auto,balanced,0.634164495720134,species_recall
7.02,multiclass,Logistic Regression (sklearn),"(10908, 400)",100,200,1,l2,auto,balanced,0.5199106810569408,species_recall
7.02,multiclass,Logistic Regression (sklearn),"(10908, 800)",100,200,2,l2,auto,balanced,0.6499813918868627,species_recall
7.02,multiclass,Logistic Regression (sklearn),"(10908, 6400)",100,200,4,l2,auto,balanced,0.8950502419054708,species_recall
7.02,multiclass,Logistic Regression (sklearn),"(10908, 43939)",100,200,6,l2,auto,balanced,0.8693710457759584,species_recall
7.02,multiclass,Logistic Regression (sklearn),"(10908, 68550)",100,200,8,l2,auto,balanced,0.838481577967994,species_recall
7.02,multiclass,Logistic Regression (sklearn),"(10908, 63875)",100,200,10,l2,auto,balanced,0.833085225158169,species_recall
7.02,multiclass,Logistic Regression (sklearn),"(10908, 51766)",100,200,12,l2,auto,balanced,0.8356903609973949,species_recall
7.02,multiclass,Logistic Regression (sklearn),"(21817, 400)",100,400,1,l2,auto,balanced,0.5135386619521727,species_recall
7.02,multiclass,Logistic Regression (sklearn),"(21817, 800)",100,400,2,l2,auto,balanced,0.6501349213734066,species_recall
7.02,multiclass,Logistic Regression (sklearn),"(21817, 6400)",100,400,4,l2,auto,balanced,0.9718060854191868,species_recall
7.02,multiclass,Logistic Regression (sklearn),"(21817, 46691)",100,400,6,l2,auto,balanced,0.9666883781520424,species_recall
7.02,multiclass,Logistic Regression (sklearn),"(21817, 77733)",100,400,8,l2,auto,balanced,0.962501163115288,species_recall
7.02,multiclass,Logistic Regression (sklearn),"(21817, 73479)",100,400,10,l2,auto,balanced,0.9594305387550014,species_recall
7.02,multiclass,Logistic Regression (sklearn),"(21817, 59669)",100,400,12,l2,auto,balanced,0.9512422071275705,species_recall
7.02,multiclass,Logistic Regression (sklearn),"(29, 800)",200,1,1,l2,auto,balanced,0.3333333333333333,species_recall
7.02,multiclass,Logistic Regression (sklearn),"(29, 1444)",200,1,2,l2,auto,balanced,0.13333333333333333,species_recall
7.02,multiclass,Logistic Regression (sklearn),"(29, 1910)",200,1,4,l2,auto,balanced,0.06666666666666667,species_recall
7.02,multiclass,Logistic Regression (sklearn),"(29, 1429)",200,1,6,l2,auto,balanced,0.06666666666666667,species_recall
7.02,multiclass,Logistic Regression (sklearn),"(29, 1096)",200,1,8,l2,auto,balanced,0.13333333333333333,species_recall
7.02,multiclass,Logistic Regression (sklearn),"(29, 878)",200,1,10,l2,auto,balanced,0.13333333333333333,species_recall
7.02,multiclass,Logistic Regression (sklearn),"(29, 703)",200,1,12,l2,auto,balanced,0.06666666666666667,species_recall
7.02,multiclass,Logistic Regression (sklearn),"(274, 800)",200,10,1,l2,auto,balanced,0.45925925925925926,species_recall
7.02,multiclass,Logistic Regression (sklearn),"(274, 1600)",200,10,2,l2,auto,balanced,0.37777777777777777,species_recall
7.02,multiclass,Logistic Regression (sklearn),"(274, 9082)",200,10,4,l2,auto,balanced,0.32592592592592595,species_recall
7.02,multiclass,Logistic Regression (sklearn),"(274, 11985)",200,10,6,l2,auto,balanced,0.3333333333333333,species_recall
7.02,multiclass,Logistic Regression (sklearn),"(274, 9852)",200,10,8,l2,auto,balanced,0.2814814814814815,species_recall
7.02,multiclass,Logistic Regression (sklearn),"(274, 7945)",200,10,10,l2,auto,balanced,0.24444444444444444,species_recall
7.02,multiclass,Logistic Regression (sklearn),"(274, 6361)",200,10,12,l2,auto,balanced,0.2814814814814815,species_recall
7.02,multiclass,Logistic Regression (sklearn),"(2727, 800)",200,100,1,l2,auto,balanced,0.5900297619047619,species_recall
7.02,multiclass,Logistic Regression (sklearn),"(2727, 1600)",200,100,2,l2,auto,balanced,0.6436011904761905,species_recall
7.02,multiclass,Logistic Regression (sklearn),"(2727, 12772)",200,100,4,l2,auto,balanced,0.7023809523809523,species_recall
7.02,multiclass,Logistic Regression (sklearn),"(2727, 60742)",200,100,6,l2,auto,balanced,0.640625,species_recall
7.02,multiclass,Logistic Regression (sklearn),"(2727, 71903)",200,100,8,l2,auto,balanced,0.5200892857142857,species_recall
7.02,multiclass,Logistic Regression (sklearn),"(2727, 60817)",200,100,10,l2,auto,balanced,0.48139880952380953,species_recall
7.02,multiclass,Logistic Regression (sklearn),"(2727, 48991)",200,100,12,l2,auto,balanced,0.49702380952380953,species_recall
7.02,multiclass,Logistic Regression (sklearn),"(5454, 800)",200,200,1,l2,auto,balanced,0.6189058429475252,species_recall
7.02,multiclass,Logistic Regression (sklearn),"(5454, 1600)",200,200,2,l2,auto,balanced,0.767026423520655,species_recall
7.02,multiclass,Logistic Regression (sklearn),"(5454, 12799)",200,200,4,l2,auto,balanced,0.8083364346855229,species_recall
7.02,multiclass,Logistic Regression (sklearn),"(5454, 77930)",200,200,6,l2,auto,balanced,0.7506512839598065,species_recall
7.02,multiclass,Logistic Regression (sklearn),"(5454, 108026)",200,200,8,l2,auto,balanced,0.6937104577595832,species_recall
7.02,multiclass,Logistic Regression (sklearn),"(5454, 94148)",200,200,10,l2,auto,balanced,0.6643096390026051,species_recall
7.02,multiclass,Logistic Regression (sklearn),"(5454, 76066)",200,200,12,l2,auto,balanced,0.6628209899516189,species_recall
7.02,multiclass,Logistic Regression (sklearn),"(10908, 800)",200,400,1,l2,auto,balanced,0.6332340900632676,species_recall
7.02,multiclass,Logistic Regression (sklearn),"(10908, 1600)",200,400,2,l2,auto,balanced,0.896538890956457,species_recall
7.02,multiclass,Logistic Regression (sklearn),"(10908, 12800)",200,400,4,l2,auto,balanced,0.9190547078526238,species_recall
7.02,multiclass,Logistic Regression (sklearn),"(10908, 88349)",200,400,6,l2,auto,balanced,0.9013770003721623,species_recall
7.02,multiclass,Logistic Regression (sklearn),"(10908, 136646)",200,400,8,l2,auto,balanced,0.861183475995534,species_recall
7.02,multiclass,Logistic Regression (sklearn),"(10908, 121850)",200,400,10,l2,auto,balanced,0.8606252326014142,species_recall
7.02,multiclass,Logistic Regression (sklearn),"(10908, 98704)",200,400,12,l2,auto,balanced,0.8546706363974693,species_recall
7.02,multiclass,Logistic Regression (sklearn),"(15, 1592)",400,1,1,l2,auto,balanced,0.25,species_recall
7.02,multiclass,Logistic Regression (sklearn),"(15, 2327)",400,1,2,l2,auto,balanced,0.25,species_recall
7.02,multiclass,Logistic Regression (sklearn),"(15, 2146)",400,1,4,l2,auto,balanced,0.125,species_recall
7.02,multiclass,Logistic Regression (sklearn),"(15, 1511)",400,1,6,l2,auto,balanced,0.125,species_recall
7.02,multiclass,Logistic Regression (sklearn),"(15, 1150)",400,1,8,l2,auto,balanced,0.125,species_recall
7.02,multiclass,Logistic Regression (sklearn),"(15, 920)",400,1,10,l2,auto,balanced,0.125,species_recall
7.02,multiclass,Logistic Regression (sklearn),"(15, 759)",400,1,12,l2,auto,balanced,0.25,species_recall
7.02,multiclass,Logistic Regression (sklearn),"(137, 1600)",400,10,1,l2,auto,balanced,0.5147058823529411,species_recall
7.02,multiclass,Logistic Regression (sklearn),"(137, 3199)",400,10,2,l2,auto,balanced,0.47058823529411764,species_recall
7.02,multiclass,Logistic Regression (sklearn),"(137, 12558)",400,10,4,l2,auto,balanced,0.38235294117647056,species_recall
7.02,multiclass,Logistic Regression (sklearn),"(137, 12586)",400,10,6,l2,auto,balanced,0.2647058823529412,species_recall
7.02,multiclass,Logistic Regression (sklearn),"(137, 10003)",400,10,8,l2,auto,balanced,0.29411764705882354,species_recall
7.02,multiclass,Logistic Regression (sklearn),"(137, 8033)",400,10,10,l2,auto,balanced,0.22058823529411764,species_recall
7.02,multiclass,Logistic Regression (sklearn),"(137, 6631)",400,10,12,l2,auto,balanced,0.23529411764705882,species_recall
7.02,multiclass,Logistic Regression (sklearn),"(1364, 1600)",400,100,1,l2,auto,balanced,0.6448736998514116,species_recall
7.02,multiclass,Logistic Regression (sklearn),"(1364, 3200)",400,100,2,l2,auto,balanced,0.7147102526002972,species_recall
7.02,multiclass,Logistic Regression (sklearn),"(1364, 25059)",400,100,4,l2,auto,balanced,0.6805349182763745,species_recall
7.02,multiclass,Logistic Regression (sklearn),"(1364, 80853)",400,100,6,l2,auto,balanced,0.5081723625557206,species_recall
7.02,multiclass,Logistic Regression (sklearn),"(1364, 81580)",400,100,8,l2,auto,balanced,0.4710252600297177,species_recall
7.02,multiclass,Logistic Regression (sklearn),"(1364, 67552)",400,100,10,l2,auto,balanced,0.424962852897474,species_recall
7.02,multiclass,Logistic Regression (sklearn),"(1364, 55940)",400,100,12,l2,auto,balanced,0.4101040118870728,species_recall
7.02,multiclass,Logistic Regression (sklearn),"(2727, 1600)",400,200,1,l2,auto,balanced,0.7440476190476191,species_recall
7.02,multiclass,Logistic Regression (sklearn),"(2727, 3200)",400,200,2,l2,auto,balanced,0.75,species_recall
7.02,multiclass,Logistic Regression (sklearn),"(2727, 25514)",400,200,4,l2,auto,balanced,0.8087797619047619,species_recall
7.02,multiclass,Logistic Regression (sklearn),"(2727, 117598)",400,200,6,l2,auto,balanced,0.6636904761904762,species_recall
7.02,multiclass,Logistic Regression (sklearn),"(2727, 138154)",400,200,8,l2,auto,balanced,0.5372023809523809,species_recall
7.02,multiclass,Logistic Regression (sklearn),"(2727, 116996)",400,200,10,l2,auto,balanced,0.5319940476190477,species_recall
7.02,multiclass,Logistic Regression (sklearn),"(2727, 97172)",400,200,12,l2,auto,balanced,0.5290178571428571,species_recall
7.02,multiclass,Logistic Regression (sklearn),"(5454, 1600)",400,400,1,l2,auto,balanced,0.8343877930777819,species_recall
7.02,multiclass,Logistic Regression (sklearn),"(5454, 3200)",400,400,2,l2,auto,balanced,0.844436174171939,species_recall
7.02,multiclass,Logistic Regression (sklearn),"(5454, 25588)",400,400,4,l2,auto,balanced,0.9002605135839226,species_recall
7.02,multiclass,Logistic Regression (sklearn),"(5454, 148288)",400,400,6,l2,auto,balanced,0.8206177893561593,species_recall
7.02,multiclass,Logistic Regression (sklearn),"(5454, 200257)",400,400,8,l2,auto,balanced,0.7346483066617046,species_recall
7.02,multiclass,Logistic Regression (sklearn),"(5454, 174176)",400,400,10,l2,auto,balanced,0.7104577595831782,species_recall
7.02,multiclass,Logistic Regression (sklearn),"(5454, 145094)",400,400,12,l2,auto,balanced,0.7149237067361369,species_recall
